The blog isWorld Travel Guide DevelopmentCurrent site: World Travel Guide Development
Blog ID: 1
Blog Lang: en
Import File: /var/www/columbus-xml/source-data/cities-full-en.xml


 Title, Type, Latitude, Longitude, Address1, Address2, City, Postcode, Website,  Telephone,  Description
 Hôtel de Paris, Luxury, 43.739555, 7.427618, , Place du Casino, Monte Carlo, , http://www.hoteldeparismontecarlo.com,  +377 9806 3000.,  <p>Enviably situated in Casino Square  Hôtel de Paris opened in 1863 and is still the most glamorous place to stay in Monaco. Exquisitely decorated  the sumptuous rooms are decked out in antique furniture. Guests can also enjoy the luxury health spa  private beach and no fewer than three glittering restaurants.</p>
 Monte Carlo Bay, Moderate, 43.740351, 7.429751, , 40 avenue Princesse Grace, Monte Carlo, , http://www.montecarlobay.com,  +377 9806 0200.,  <p>This refined resort opened in 2005 and has more than 300 rooms and suites  plus one palatial apartment. Guests can indulge themselves with the outdoor pool  lagoon and luxury spa  and take in views of the Mediterranean from the extensive grounds. Most rooms have striking sea views and the onsite restaurants are all fantastic too.</p>
 Hôtel Hermitage, Luxury, 43.738788, 7.426134, , Square Beaumarchais, Monte Carlo, , http://www.hotelhermitagemontecarlo.com,  +377 9806 4000.,  <p>Listed as a historic monument  the Hôtel Hermitage is an imposing belle époque hotel that remains one of the jewels in Monaco's architectural crown. Opulence abounds inside  with extravagant antiques and ornate décor  but also plenty of old-world style and elegance. Some rooms overlooking the harbour have their own terrace hot tubs.</p>
 Hôtel de France, Cheap, 43.733239, 7.418345, , 6 rue de la Turbie, La Condamine, , http://www.hoteldefrance.mc,  +377 9330 2464,  <p>This simple yet comfortable 2-star is just a few minutes' walk from the lively morning market at La Condamine's Place d'Armes and the shops along rue Grimaldi. Rooms have contemporary style and some come with a balcony. Considering it's less than 10 minutes' walk from the port  it's a bargain.</p>
 Hôtel Ambassador Monaco, Moderate, 43.732752, 7.417980, , 10 avenue Prince Pierre, Monte Carlo, , http://www.ambassadormonaco.com,  +377 9797 9696.,  <p>Monaco's main attractions  including Monaco Rock  the Palais Princier and Port Hercule  are just a stone's throw away from this stylish  understated hotel. The 3-star stay comes with all the usual comforts  Wi-Fi and air-conditioning included  at a rather reasonable price. There's also an in-house restaurant that serves Mediterranean classics.</p>
 Le Miramar Monaco, Moderate, 43.734933, 7.423264, , 1 avenue Président John F Kennedy, La Condamine, , http://www.miramar-monaco.com,  +377 9330 8648.,  <p>What this little 3-star lacks in spacious rooms it makes up for in wonderful views. Overlooking Port Hercule  the Miramar has simple  modern sleeping quarters  some with balconies. Its SunDeck Restaurant is a real treat: very good food served on a panoramic terrace looking out over the port.</p>
 Conti, Moderate, 54.675384, 25.282058, , Raugyklos g. 7, Vilnius, , http://www.contihotel.lt/,  +370 5 251 4111,  <p>Set right in the heart of Old Town  Conti offers spacious rooms with satellite TV channels and free Wi-Fi. Facilities include a gym and a sauna.</p>
 Courtyard by Marriott, Moderate, 54.692624, 25.289378, , Rinktines st 3, Vilnius, , https://www.marriott.com/hotels/travel/vnocy-courtyard-vilnius-city-center,  +370 5 207 0707,  <p>Launched in April 2018  this hotel sits on the north bank of River Neris and only 10 minutes' walk from Vilnius Cathedral and 18 minutes' walk from Lithuania National Opera and Ballet Theatre. The buffet breakfast is superb.</p>
 Kempinski Hotel Cathedral Square Vilnius, Luxury, 54.684700, 25.285600, , Universiteto g. 14, Vilnius, , https://www.kempinski.com/en/vilnius/hotel-cathedral-square/,  +370 5 220 1100,  <p>A glitzy international hotel located in the Old Town. Its 96 rooms and suites are elegantly decorated and many of them offer excellent views of the UNESCO-listed Cathedral Square. After a day of sightseeing  guests can unwind at the spa centre.</p>
 Comfort Hotel LT - Rock 'N' Roll Vilnius, Cheap, 54.672853, 25.275284, , Kauno g. 14, Vilnius, , http://www.comforthotel.lt/Vilnius‎,  (5) 250 5111,  <p>With 200 funky music-themed rooms  this modern hotel has a gym and offers complimentary breakfast. There is no &quot;Concierge Service&quot; but there are Mac computers in the lobby readily available to help.</p>
 Ecotel Vilnius, Cheap, 54.689387, 25.280024, , Slucko Street 8, Vilnius, , http://www.ecotel.lt,  +370 5 210 2700,  <p>This Vilnius hotel has 166 rooms over four floors and offers guests free buffet breakfast and Wi-Fi. It is located in the centre of Vilnius on the north bank of the Neris River a 10-minute walk from the Old Town.</p>
 Grotthuss, Moderate, 54.689387, 25.280024, , Ligonines 7, Vilnius, , http://www.grotthusshotel.com,  +370 5 266 0322,  <p>This quaint Vilnius boutique hotel is at the heart of the Old Town with a welcoming  homely ambience  and a sense of tradition that is backed up by free Wi-Fi and flat-screen TVs. Breakfast is free.</p>
 Mabre Residence Hotel, Luxury, 54.689387, 25.280024, , Maironio 13, Vilnius, , http://www.mabre.lt,  +370 5 212 2087,  <p>This excellent Old Town bolthole is the perfect hotel in Vilnius for those looking for peace and quiet. The hotel has 40 spacious rooms  housed in an old monastery with an on-site steak house and massage spa. Free Wi-Fi is available in all rooms. Highly recommended.</p>
 Radisson Blu Astorija Hotel, Luxury, 54.689387, 25.280024, , Didzioji 35/2, Vilnius, , http://www.radissonblu.com/hotel-vilnius,  +370 5 212 0110,  <p>Nestled in a century-old building  this hotel has 126 spacious rooms equipped with Wi-Fi and Nespresso coffee machine. There's also a classic French restaurant  a cocktail bar  a gym and an indoor pool. It's a five-minute walk to the Gates of Dawn.</p>
 Pogo Hostel, Cheap, 54.684828, 25.290602, , B. Radvilaitės str. 3 - 1, Vilnius, , http://www.pogo.lt,  +370 684 67060,  <p>This friendly hostel is popular with young adults who want to get more for their money without compromising on comfort. The beds are clean and the bathroom facilities are shared. It also offers free Wi-Fi  a common lounge and a small library.</p>
 Imperial Hotel, Luxury, 54.676580, 25.288577, , Subaciaus 2, Vilnius, , http://www.imperialvilnius.lt,  +370 5 255 3355,  <p>This 5-star luxury hotel in Vilnius and is set in a historic 16th-century building. Its great Old Town location  super helpful staff and 55 spotless rooms combine to make this a deservedly popular choice with business and leisure travellers alike.</p>
 Hotel Rubens, Moderate, 51.221598, 4.401631, , Oude Beurs 29, Antwerp, 2000, http://www.hotelrubensantwerp.be/antwerpen/hotelrubens/en,  +32 3 222 4848,  <p>Tucked away in a quiet side street behind the Grote Markt  this stylish 4-star hotel is the perfect base to explore the Old Town. A friendly concierge welcomes weary travellers with a refreshing port or sherry  while the hotel&rsquo;s chic rooms are comfortable  quiet and well-appointed. You won&rsquo;t go hungry either; their buffet breakfast will set you up for a day full of sightseeing.</p>
 Hotel Rubenshof, Cheap, 51.206430, 4.395925, Zuid, Amerikalei 115-117, Antwerp, 2000, https://www.rubenshof.be/en/,  +32 3 237 0789.,  <p>Next to the Fine Arts Museum  this cheap Antwerp hotel sits in the trendy Zuid district. The building occupies a former cardinal's residence that dates back to 1860  with ornate public areas and 22 tastefully decorated bedrooms.</p>
 Hotel Matelote, Cheap, 51.220431, 4.395980, , Haarstraat 11a, Antwerp, 2000, https://www.hotel-matelote.be/ukhotel,  +32 3 201 8800,  <p>Matelote is a unique boutique hotel merging 21st century convenience with 16th century architecture. Nestled in the Haarstraat  the building is just a short walk from main attractions like the Grand Palace and its town hall  the River Scheldt and the Antwerp Cathedral. The Fashion Museum and Rubens House also sit nearby  making sight-seeing a breeze. Because it&rsquo;s a historical site  there is no elevator in the hotel  meaning it does not offer full accessibility.</p>
<p>&nbsp;</p>
 Firean Hotel, Moderate, 51.197445, 4.407831, , Karel Oomsstraat 6, Antwerp, 2018, http://www.hotelfirean.com/en/,  +32 3 237 0260,  <p>Built in 1929  the Firean Hotel is reputed to be one of the most charming hotels in Belgium. This hotel is an Art-deco mansion that the actual owners restored in 1986. They take pride in offering outstanding quality and service with thoughtful gestures. One of the proprietors welcomes guests upon arrival  acquainting visitors with the space.</p>
<p>&nbsp;</p>
 Tra Noi, Cheap, 51.216509, 4.400064, , Zwaardstraat 2, Antwerp, 2000, http://www.weekendhotel.nl/en/antwerp-bed-and-breakfast-tra-noi/6912,  +32 3 232 3066,  <p>Located in the heart of the fashion district  this superb little guesthouse is owned by Danielle  a friendly lady who has two apartments and a guest bedroom that she rents out at very reasonable rates. Danielle used to work in the fashion industry  so the decor is stylish and slightly eccentric (there&rsquo;s an antique rowing boat hanging from the ceiling of one apartment)  but the city centre location is almost unbeatable.</p>
 Hotel Postiljon, Cheap, 51.220643, 4.400805, , Blauwmoezelstraat 6, Antwerp, 2000, http://www.hotelpostiljon.be/,  +32 3 231 7575.,  <p>Nestled in the shadow cast by the neighbouring cathedral  this long-established Antwerp hotel offers simple  clean and elegant rooms. It may be small with no frills  but considering its prime location opposite the city&rsquo;s biggest landmark  Hotel Postiljon offers fantastic value for money.</p>
 Radisson Blu Astrid Hotel, Moderate, 51.219357, 4.421568, , Koningin Astridplein 7, Antwerp, 2018, http://www.radissonblu.com/astridhotel-antwerp,  +32 3 203 1234,  <p>Less characterful than some Antwerp hotels  though no less luxurious  the Astrid is a towering modern building that borrows elements from older styles. Boasting some 200 rooms of 5-star lavishness  it&rsquo;s situated directly opposite Antwerp's Centraal station. Guests have full use of the leisure facilities  including a health centre.</p>
 Hotel Julien, Moderate, 51.220370, 4.403820, , Korte Nieuwstraat 24, Antwerp, 2000, http://www.hotel-julien.com/,  +32 3 229 0600,  <p>A short walk from Groenplaats Square  this elegant and cosy Antwerp hotel is a beautiful mix of old and new. The rooms sport minimalist designer d&eacute;cor and all amenities blend seamlessly with original medieval features. Friendly staff preside over the space  and the roof terrace provides sweeping city views.</p>
 Leonardo Hotel , Cheap, 51.217287, 4.420216, , De Keyserlei 59, Antwerp, 2018, https://www.leonardo-hotels.com/antwerp-hotels,  +32 3 232 1443,  <p>Located near Antwerp's Centraal Station  Leonardo Hotel has 96 spacious bedrooms  which are smart  clean and contemporary. The location is great for exploring the diamond district and for onward travel  but not so good for the historic Old Town  which is a fair walk away. But the price is right and the summer terrace is the perfect place to enjoy breakfast.</p>
 De Witte Lelie, Luxury, 51.221792, 4.406508, , Keizerstraat 16, Antwerp, 2000, http://www.dewittelelie.be/,  +32 3 226 1966.,  <p>This former 17th-century canal house is today one of the best boutique hotels in Antwerp. Period features and antiques have been sympathetically fused with contemporary designs to offer guests a comfortable and characterful stay in the city. The 10 gorgeous bedrooms give the hotel a cosy  personable feel  although rooms book up quickly.</p>
 Hilton Antwerp Old Town, Luxury, 51.219609, 4.402095, , Groenplaats 32, Antwerp, 2000, http://www3.hilton.com/en/hotels/belgium/hilton-antwerp-old-town-ANRHITW/index.html,  +32 3 204 1212,  <p>Boasting the sky-high Cathedral of Our Lady as its next-door neighbour  this five-story fin-de-si&egrave;cle building was originally the Grand Bazar department store. Spacious rooms are sumptuously decorated with one eye on history  though the flat-screen TVs and Wi-Fi keep everything up to date. Drink in the surroundings by taking afternoon tea in the marble-floored lobby.</p>
 Park Inn by Radisson Brussels Midi, Cheap, 50.835699, 4.338136, , Place Marcel Broodthaers 3, Brussels, 1060, https://www.parkinn.com/hotel-brussels,  +32 2 535 1400,  
 NH Stephanie, Cheap, 50.833531, 4.354436, , Rue Jean Stas 32, Brussels, 1060, http://www.nh-hotels.com/hotel/nh-brussels-stephanie,  +32 2 537 4250.,  <p>With crisply decorated  modern rooms  this hotel is excellent value for money for those who don't mind staying a little over 1km (0.6 miles) outside of the city centre. A good breakfast is included and the superior rooms feature thoughtful extras such as free  Wi-Fi  coffee making machines and a choice of pillows.</p>
 Mozart, Cheap, 50.845562, 4.353167, , Rue Marché aux Fromages 23, Brussels, 1000, http://www.hotel-mozart.be,  +32 2 502 6661.,  <p>This 50-room hotel occupies a 17th-century building in a lively area just off the Grand-Place  amid a plethora of bars and small eating places. For a budget option with simple rooms and facilities  its lobby is surprisingly grandiose  elaborately decked out in marble  patterned tiles and baroque furniture. There's more cheerfully florid d&eacute;cor in the small courtyard garden.</p>
 Brussels Welcome Hotel, Moderate, 50.852040, 4.348461, , Quai au Bois à Brûler 23, Brussels, 1000, http://www.hotelwelcome.com,  +32 2 219 9546.,  <p>This distinctive boutique hotel celebrates the romance of travel. Each of the 17 rooms is individually decorated with ethnic textiles and artefacts to evoke a far-flung corner of the world: the Congo room is strewn with mosquito nets and leopard-spotted cushions  the Cuba room features a mural of old Havana and the Tahiti room has a bamboo bed and a wildly colourful  tropical theme.</p>
 Atlas Hotel Brussels, Cheap, 50.849512, 4.346062, , Rue du Vieux Marché aux Grains 30, Brussels, 1000, http://www.atlas-hotel.be,  +32 2 502 6006.,  <p>This quiet  friendly 3-star hotel  a 10-minute walk from the Grand-Place and close to the Bourse  has 89 en-suite rooms. Although the rooms are fairly modest  they're well-kept and good value with free Wi-Fi is included. City bus tours depart from the front door and private parking is available for a daily charge.</p>
 The Dominican, Luxury, 50.849258, 4.354763, , Rue Leopold 9, Brussels, 1000, http://www.thedominican.be,  +32 2 203 0808.,  <p>Part of the Carlton hotel group  The Dominican is the place to come if you want to be pampered while on a break in Brussels. It takes its name from the Dominican abbey which was originally built on this site in the 1400s. Its design is first rate  taking on the hushed feel of the abbey&rsquo;s cloisters. Rooms are huge  the beds vast and the breakfast top notch.</p>
 Hotel Metropole Brussels, Luxury, 50.851502, 4.353512, , Place de Brouckère 31, Brussels, 1000, http://www.metropolehotel.com,  +32 2 217 2300.,  <p>The 19th-century Hotel Metropole  with its grand art nouveau interior  is the first choice for those wishing to combine a lust for nostalgia with a need for modern comfort. A stone's throw from the Grand-Place  this palatial hotel offers a truly grand entrance hall and an Italian baroque style restaurant  L'Alban Chambon. There are 283 comfortable rooms and 15 suites  many decorated with drapes  swags and chandeliers.</p>
 Hotel Amigo Brussels, Luxury, 50.846371, 4.351184, , Rue de l'Amigo 1-3, Brussels, 1000, ,  +32 2 547 4747.,  <p>Although within short walking distance of the bustling Grand-Place  the Rocco Forte Hotel Amigo is a haven of calm and comfort. The building served as a prison in the 16th century and opened as a luxury hotel in 1957. Furnished with rich tapestries and antiques  it offers a friendly welcome and has a restaurant and cocktail bar  meeting rooms and a banqueting suite. The d&eacute;cor of the 176 rooms and suites blends contemporary elegance with dashes of colour and humour - Herg&eacute; characters and Magritte graphics appear here and there.</p>
 Odette En Ville, Moderate, 50.850340, 4.351710, , Rue de Châtelain 25, Brussels, 1050, http://www.odetteenville.be/en/,  +32 2 640 2626.,  <p>This design-led boutique hotel  in the beautiful Chatelain quarter  nods towards classic film noir sets with luxurious decor that isn&rsquo;t stuffy and sleek  cosy rooms. There are even art and photography books for sale here. Guests can score a massage or treatment at Serendip Spa round the corner at a discounted rate.</p>
 Made In Louise, Moderate, 50.850340, 4.351710, , Rue Veydt 40, Brussels, 1050, http://www.madeinlouise.com,  +32 2 537 4033.,  <p>Located just outside the city centre  Made In Louise has earned a reputation as Brussels&rsquo; hottest boutique hotel. Family run  the attention to detail runs deep  from the individually designed bedrooms through to the excellent tips on local bars and restaurants. The breakfast is spectacular  so be sure to get up early enough for it.</p>
 Passage, Cheap, 51.205936, 3.219375, , Dweersstraat 26, Bruges, 8000, http://www.passagebruges.com,  +32 50 340 232.,  <p>Another wallet-friendly option  the Passage is a youth hostel  budget hotel  and restaurant split between two Old Town buildings. Scruffy and old fashioned but charming nonetheless  the Passage offers dorm beds  cheap doubles  and reasonably priced food. The staff are helpful and Bruges&rsquo; main attractions are just a short stroll away.</p>
 Bonifacius, Luxury, 51.205324, 3.225869, , Groeninge 4, Bruges, 8000, http://www.bonifacius.be,  +32 50 490 049.,  <p>For refined living in period charm  you can&rsquo;t beat the Bonifacius. This cosy  canal-side guesthouse dates back to the 16th century and is one of the city&rsquo;s most photographed private buildings thanks to its idyllic location next to the smallest bridge in Bruges (which it is named after). This exclusive guesthouse boasts three opulent suites  a rooftop terrace and a stunning breakfast room.</p>
 Hotel Navarra, Moderate, 51.210306, 3.221115, , Sint-Jakobsstraat 41, Bruges, 8000, http://www.hotelnavarra.com,  +32 50 340 561.,  <p>A grand hotel in a compact city  the Navarra is housed in a gorgeous  listed building in the heart of Bruges. There are 94 comfortable rooms in total  not to mention a fabulous swimming pool and sauna  which is the perfect tonic after a day of sightseeing. If you&rsquo;ve brought your wheels to the city  the hotel&rsquo;s on-site parking will ease the burden.</p>
 Hotel Fevery, Cheap, 51.215255, 3.227271, , Collaert Mansionstraat 3, Bruges, 8000, http://www.hotelfevery.be,  +32 50 331 269.,  <p>Small  friendly and family-run  the Fevery is in a quiet spot just 10 minutes from the central market square. Rooms are simply furnished  but homely and good value. The fact there are only 10 of them keeps the service personal  ensuring the vibe stays like that of a suburban bed and breakfast  rather than a slick city hotel.</p>
 The Pand Hotel, Luxury, 51.207115, 3.228128, , Pandreitje 16, Bruges, 8000, http://www.pandhotel.com,  +32 50 340 666.,  <p>Quite possibly the best place to stay in Bruges  The Pand is a small  luxurious hotel in the heart of the Old Town. Sumptuous but not showy  this former 18th-century carriage house has a friendly  laid-back ambiance and one of the best champagne breakfasts in the city. Festooned with the owner&rsquo;s personal collection of antiques  there are 26 individually designed rooms to choose from.</p>
 Hotel de Orangerie, Luxury, 51.207055, 3.226290, , Kartuizerinnenstraat 10, Bruges, 8000, http://www.hotelorangerie.be,  +32 50 341 649.,  <p>Opulence abounds in the 20 large and lavish rooms of this lovely boutique hotel  housed in a former 15th-century monastery. Those facing the picturesque canal have some of the best views in town. If you can tear yourself away  the lounge bar has a warming open fire in winter  or you can enjoy afternoon tea in the elegant winter garden.</p>
 NH Brugge, Moderate, 51.203994, 3.216749, , Boeveriestraat 2, Bruges, 8000, https://www.nh-hotels.com/hotel/nh-brugge,  +32 50 449 711,  <p>This hotel has an interesting history  as it was a monastery from the 17th century  but is now a classified building. With a buffet breakfast  a restaurant  bar  free Wi-Fi  and room service  guests will be delighted with their stay and wish for more. Located in the &ldquo;Venice of the North&rdquo;  a UNESCO World Heritage site  NH Brugge is a convenient and enjoyable place to stay.</p>
<p>&nbsp;</p>
 Ensor, Cheap, 51.207061, 3.214734, , Speelmansrei 10, Bruges, 8000, http://www.ensorhotel.be/,  +32 50 342 589,  <p>Ensor is a family hotel  located in Bruges&rsquo; Old Town  in a quiet area alongside a typical Bruges canal. With 12 rooms  it&rsquo;s a small but comfortable hotel. The hotel is just a short walk into town and not far from the train station either  so the location is convenient as well. Described as a budget hotel  if needed you can attempt to email directly and lower the rates.</p>
<p>&nbsp;</p>
 Hotel Heritage, Moderate, 51.209940, 3.223864, , Niklaas Desparsstraat 11, Bruges, 8000, http://www.hotel-heritage.com,  +32 50 444 444.,  <p>Just a block north of Markt Place  this opulent boutique hotel comes with plush furnishings in every room  chandeliers in public areas and a glass of bubbly at breakfast time. If you book far enough in advance and you won&rsquo;t have to be as rich as a lord in order to live like one.</p>
 Hotel Malleberg, Moderate, 51.209259, 3.227994, , Hoogstraat 7, Bruges, 8000, http://www.malleberg.be,  +32 50 344 111.,  <p>This cosy little hotel is just a stone&rsquo;s throw from the Markt Square  yet the reasonable room rates belie its location and quality of accommodation. There are nine bedrooms in total  which are spacious  stylish and like the rest of the hotel  have a homely feel. A buffet breakfast is served in the hotel&rsquo;s vaulted cellar and sets guests up for a morning of sightseeing.</p>
 Hotel Jacobs, Cheap, 51.214706, 3.226379, , Baliestraat 1, Bruges, 8000, http://www.hoteljacobs.be,  +32 50 339 831.,  <p>Nestled down a sleepy side street on the edge of the Old Town  Hotel Jacobs is one of the best budget options in Bruges. This pretty  step-gabled building has 23 homely rooms  each with their own bathroom. Renovated a few years back  there&rsquo;s free Wi-Fi  a bumper buffet breakfast and plenty of information about local attractions. The 10-minute walk into town is pleasant and easy-going.</p>
 Swissotel Tallinn, Luxury, 59.433065, 24.761144, , Tornimäe 3, Tallinn, , https://www.swissotel.com/hotels/tallinn/,  +372 624 0000,  <p>Set in the city centre  many rooms in this 5-star hotel enjoy great views of the Old Town and the Gulf of Finland. The top-floor Horisont Bar is cosy while The Quarter restaurant on the 8th-floor serves up creative dishes.</p>
 Hestia Hotel Seaport, Cheap, 59.442718, 24.767419, , Uus-Sadama 23, Tallinn, , http://www.hestiahotelgroup.com,  +372 667 6600,  <p>No frills but a clean and comfortable cheap Tallinn hotel right next to the D-terminal (for passengers) at the Port of Tallinn. The on-site sauna is available upon prior request.</p>
 Hestia Hotel Europa, Moderate, 59.441589, 24.760673, , Paadi 5, Tallinn, , http://www.hestiahotelgroup.com,  +372 669 9777.,  <p>Hestia Hotel Europa is centrally located in the historical Rotermann city block not far from the Old Town. The six-storey Tallinn hotel has 185 rooms  some of which have superb views over Tallinn Bay. There is a conference centre with a capacity of 700 as well as a fitness centre and sauna.</p>
 Hotel Telegraaf, Luxury, 59.437649, 24.747286, , Vene 9, Tallinn, , , http://www.telegraafhotel.com,  +372 600 0600.,  <p>This luxury Tallinn hotel is tucked away on Vene Street  in what is sometimes called the Tallinn Latin Quarter  in the Old Town. There are 83 stylish rooms  an excellent spa with lots of different treatments on offer  a good restaurant and conference space for up to 45 people.</p>
 Merchant's House Hotel, Moderate, 59.436978, 24.743926, , Dunkri 4/6, Tallinn, , http://www.merchantshousehotel.com,  +372 697 7500.,  <p>This slick 4-star boutique hotel lies just around the corner from Tallinn's Town Hall Square. The rooms have satellite TV and guests can enjoy free Wi-Fi and sauna access.</p>
 Radisson Blu Sky Hotel Tallinn, Moderate, 59.438862, 24.754472, , Räavala puiestee 3, Tallinn, , http://www.radissonblu.com/en/skyhotel-tallinn,  +372 682 3000.,  <p>Spacious Business Class rooms plus 10 conference rooms make this bright  modern Tallinn hotel on the edge of the Old Town perfect for business travellers.</p>
 Schlössle Hotel, Luxury, 59.438579, 24.748093, , Puhavaimu 13/15, Tallinn, , http://www.schloesslehotel.com,  +372 699 7700.,  <p>Tallinn&rsquo;s first 5-star hotel has fought off a clutch of upstarts in recent years to stay at the top of the tree. Perfect Old Town location with atmosphere and smooth service.</p>
 Economy Hotel, Cheap, 59.441413, 24.739386, , Kopli 2C, Tallinn, , http://www.economyhotel.ee,  +372 667 8300.,  <p>This pleasant city-centre hotel with 40 comfortable rooms is just a short walk from the train station and the Old Town. Free Wi-Fi access and parking are also offered.</p>
 Grand Hotel de Londres (Buyuk Londra Hotel), Cheap, 41.032747, 28.975351, , Mesrutiyet Caddesi 53, Istanbul, 34430, http://www.londrahotel.net,  +90 212 2450670,  <p>With a history dating back to the heydays of the Orient Express  this establishment has seen many writers (Hemingway being one of them)  artists and actors step through its doors. Though the hotel has had many rounds of renovations over the years  the 1900s atmosphere is still very much palpable and underlined by the dark wooden interior and velvet drapes. It's also within walking distance to Taksim square  and near to many theatres and restaurants.</p>
